Score	Actual # of alignments with score	Actual % of alignments with score	Estimated % of alignments with score
-102	0	0.0	4.6328405902058376E-60
-101	0	0.0	9.825781498360895E-54
-100	0	0.0	4.440650083819336E-48
-99	0	0.0	5.032758279876564E-43
-98	0	0.0	1.654692523723165E-38
-97	0	0.0	1.797991868955117E-34
-96	0	0.0	7.2554197306313815E-31
-95	0	0.0	1.2068483389820126E-27
-94	0	0.0	9.084409245555427E-25
-93	0	0.0	3.364056264429695E-22
-92	0	0.0	6.603908585090593E-20
-91	0	0.0	7.347524976749513E-18
-90	0	0.0	4.918770420955047E-16
-89	0	0.0	2.0901866889097844E-14
-88	0	0.0	5.914481747080351E-13
-87	0	0.0	1.1631928311883594E-11
-86	0	0.0	1.65208104245954E-10
-85	0	0.0	1.7536545127043482E-9
-84	0	0.0	1.4345314964669397E-8
-83	1	0.001001001001001001	9.294944996332482E-8
-82	0	0.0	4.888958614278685E-7
-81	0	0.0	2.133820150141544E-6
-80	0	0.0	7.881439945930982E-6
-79	2	0.002002002002002002	2.507235533000422E-5
-78	0	0.0	6.978430855952839E-5
-77	3	0.003003003003003003	1.7234761262557204E-4
-76	0	0.0	3.8247728223945283E-4
-75	1	0.001001001001001001	7.713491483825706E-4
-74	10	0.01001001001001001	0.0014279670592939277
-73	6	0.006006006006006006	0.002448629294597371
-72	13	0.013013013013013013	0.003920748277197426
-71	7	0.007007007007007007	0.00590459816581255
-70	20	0.02002002002002002	0.008417661685650639
-69	13	0.013013013013013013	0.011425658033506043
-68	3	0.003003003003003003	0.014842404375737946
-67	2	0.002002002002002002	0.018538253170871134
-66	9	0.009009009009009009	0.02235484062563878
-65	19	0.01901901901901902	0.026122818605887294
-64	34	0.03403403403403404	0.029679210096417413
-63	49	0.04904904904904905	0.0328817687855759
-62	70	0.07007007007007007	0.03561883373112172
-61	40	0.04004004004004004	0.037814278984456245
-60	20	0.02002002002002002	0.03942802235388955
-59	9	0.009009009009009009	0.04045307974948991
-58	2	0.002002002002002002	0.04091034756934902
-57	8	0.008008008008008008	0.04084224454727288
-56	26	0.026026026026026026	0.04030614443131858
-55	63	0.06306306306306306	0.03936826937317236
-54	77	0.07707707707707707	0.038098454459591764
-53	69	0.06906906906906907	0.03656597376179123
-52	45	0.04504504504504504	0.03483645327281455
-51	21	0.021021021021021023	0.032969786850416516
-50	6	0.006006006006006006	0.031018910006922792
-49	0	0.0	0.02902926183083516
-48	3	0.003003003003003003	0.027038766019222477
-47	24	0.024024024024024024	0.0250781780401292
-46	53	0.05305305305305305	0.02317166918404886
-45	51	0.05105105105105105	0.021337544341514008
-44	49	0.04904904904904905	0.019589015363561453
-43	27	0.02702702702702703	0.017934973945198614
-42	5	0.005005005005005005	0.016380726315595583
-41	2	0.002002002002002002	0.014928666515866326
-40	0	0.0	0.013578875995183192
-39	3	0.003003003003003003	0.012329645157203747
-38	7	0.007007007007007007	0.011177917903769473
-37	21	0.021021021021021023	0.010119663696229094
-36	24	0.024024024024024024	0.009150183670381546
-35	26	0.026026026026026026	0.008264358304228236
-34	11	0.011011011011011011	0.007456844373099381
-33	1	0.001001001001001001	0.00672222868469358
-32	0	0.0	0.0060551455538087875
-31	0	0.0	0.005450364287540397
-30	0	0.0	0.004902852199881085
-29	5	0.005005005005005005	0.004407817922050658
-28	8	0.008008008008008008	0.0039607390604064424
-27	11	0.011011011011011011	0.003557377599680935
-26	7	0.007007007007007007	0.003193785866228014
-25	2	0.002002002002002002	0.002866305356837592
-24	0	0.0	0.0025715603014559267
-23	0	0.0	0.0023064474578380297
-22	0	0.0	0.0020681233262297882
-21	0	0.0	0.0018539897154985373
-20	1	0.001001001001001001	0.0016616783815766709
-19	1	0.001001001001001001	0.0014890352879054752
-18	3	0.003003003003003003	0.0013341048996001173
-17	3	0.003003003003003003	0.0011951148128129196
-16	2	0.002002002002002002	0.0010704609334587336
-15	0	0.0	9.586933509653003E-4
-14	0	0.0	8.585029995271406E-4
-13	0	0.0	7.687091585385792E-4
-12	0	0.0	6.882478130165203E-4
-11	0	0.0	6.161608718795522E-4
-10	1	0.001001001001001001	5.515862252726741E-4
-9	0	0.0	4.93748610369389E-4
-8	0	0.0	4.419512471542089E-4
-7	0	0.0	3.955682007109006E-4
-6	0	0.0	3.5403742381257615E-4
-5	0	0.0	3.168544325699898E-4
-4	0	0.0	2.835665681023646E-4
-3	0	0.0	2.5376779830347287E-4
-2	0	0.0	2.2709401551392584E-4
